------------------------ PARSE TREE (TABLE FORMAT) ------------------------

lexeme               lineno   tokenName          valueIfNumber   parentNodeSymbol       isLeaf   NodeSymbol            
as                   39       TK_AS              ----            <definetypestmt>       yes      ----                  
#triangle            39       TK_RUID            ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
record               40       TK_RECORD          ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <typeDefinition>      
#three               40       TK_RUID            ----            <typeDefinition>       yes      ----                  
type                 41       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
#line                41       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    41       TK_COLON           ----            <fieldDefinition>      yes      ----                  
base                 41       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    41       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <typeDefinition>       no       <fieldDefinitions>    
type                 42       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
#line                42       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    42       TK_COLON           ----            <fieldDefinition>      yes      ----                  
height               42       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    42       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       EPS                ----            <moreFields>           yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <moreFields>          
endrecord            43       TK_ENDRECORD       ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
definetype           44       TK_DEFINETYPE      ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <definetypestmt>      
union                44       TK_UNION           ----            <A>                    yes      ----                  
----                 -1       ----               ----            <definetypestmt>       no       <A>                   
#four                44       TK_RUID            ----            <definetypestmt>       yes      ----                  
as                   44       TK_AS              ----            <definetypestmt>       yes      ----                  
#shape               44       TK_RUID            ----            <definetypestmt>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
record               45       TK_RECORD          ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <actualOrRedefined>    no       <typeDefinition>      
#variantrecord       45       TK_RUID            ----            <typeDefinition>       yes      ----                  
type                 46       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
int                  46       TK_INT             ----            <primitiveDatatype>    yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <primitiveDatatype>   
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    46       TK_COLON           ----            <fieldDefinition>      yes      ----                  
tag                  46       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    46       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <typeDefinition>       no       <fieldDefinitions>    
type                 47       TK_TYPE            ----            <fieldDefinition>      yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <fieldDefinition>     
#shape               47       TK_RUID            ----            <constructedDatatype>  yes      ----                  
----                 -1       ----               ----            <fieldType>            no       <constructedDatatype> 
----                 -1       ----               ----            <fieldDefinition>      no       <fieldType>           
:                    47       TK_COLON           ----            <fieldDefinition>      yes      ----                  
s                    47       TK_FIELDID         ----            <fieldDefinition>      yes      ----                  
;                    47       TK_SEM             ----            <fieldDefinition>      yes      ----                  
----                 -1       EPS                ----            <moreFields>           yes      ----                  
----                 -1       ----               ----            <fieldDefinitions>     no       <moreFields>          
endrecord            48       TK_ENDRECORD       ----            <typeDefinition>       yes      ----                  
----                 -1       ----               ----            <typeDefinitions>      no       <actualOrRedefined>   
----                 -1       ----               ----            <typeDefinitions>      no       <typeDefinitions>     
----                 -1       EPS                ----            <typeDefinitions>      yes      ----                  
